natCu(p,x)65Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

13.2	150.72	3.63E-01	9.82E+00	3.63E-01
13.3	146.41	3.68E-01	9.94E+00	3.68E-01
13.4	142.16	3.72E-01	1.01E+01	3.72E-01
13.5	137.96	3.77E-01	1.02E+01	3.77E-01
13.6	133.83	3.81E-01	1.03E+01	3.81E-01
13.7	129.77	3.85E-01	1.04E+01	3.85E-01
13.8	125.78	3.89E-01	1.05E+01	3.89E-01
13.9	121.88	3.93E-01	1.06E+01	3.93E-01
14.0	118.07	3.97E-01	1.07E+01	3.97E-01
14.1	114.35	4.01E-01	1.08E+01	4.01E-01
14.2	110.73	4.05E-01	1.09E+01	4.05E-01
14.3	107.21	4.08E-01	1.10E+01	4.08E-01
14.4	103.79	4.12E-01	1.11E+01	4.12E-01
14.5	100.46	4.15E-01	1.12E+01	4.15E-01
14.6	97.23	4.18E-01	1.13E+01	4.18E-01
14.7	94.09	4.22E-01	1.14E+01	4.22E-01
14.8	91.05	4.25E-01	1.15E+01	4.25E-01
14.9	88.10	4.28E-01	1.16E+01	4.28E-01
15.0	85.24	4.31E-01	1.16E+01	4.31E-01
15.1	82.48	4.34E-01	1.17E+01	4.34E-01
15.2	79.81	4.36E-01	1.18E+01	4.36E-01
15.3	77.23	4.39E-01	1.19E+01	4.39E-01
15.4	74.73	4.42E-01	1.19E+01	4.42E-01
15.5	72.32	4.44E-01	1.20E+01	4.44E-01
15.6	69.99	4.47E-01	1.21E+01	4.47E-01
15.7	67.75	4.49E-01	1.21E+01	4.49E-01
15.8	65.58	4.52E-01	1.22E+01	4.52E-01
15.9	63.48	4.54E-01	1.23E+01	4.54E-01
16.0	61.46	4.56E-01	1.23E+01	4.56E-01
16.1	59.52	4.58E-01	1.24E+01	4.58E-01
16.2	57.64	4.60E-01	1.24E+01	4.60E-01
16.3	55.83	4.62E-01	1.25E+01	4.62E-01
16.4	54.09	4.64E-01	1.26E+01	4.64E-01
16.5	52.41	4.66E-01	1.26E+01	4.66E-01
16.6	50.79	4.68E-01	1.27E+01	4.68E-01
16.7	49.23	4.70E-01	1.27E+01	4.70E-01
16.8	47.73	4.72E-01	1.28E+01	4.72E-01
16.9	46.28	4.74E-01	1.28E+01	4.74E-01
17.0	44.89	4.75E-01	1.28E+01	4.75E-01
17.1	43.55	4.77E-01	1.29E+01	4.77E-01
17.2	42.26	4.79E-01	1.29E+01	4.79E-01
17.3	41.02	4.80E-01	1.30E+01	4.80E-01
17.4	39.82	4.82E-01	1.30E+01	4.82E-01
17.5	38.67	4.83E-01	1.31E+01	4.83E-01
17.6	37.57	4.85E-01	1.31E+01	4.85E-01
