natCu(p,x)56Co				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

83.0	11.81	1.04E+00	2.81E+01	1.04E+00
83.1	11.79	1.04E+00	2.82E+01	1.04E+00
83.2	11.77	1.05E+00	2.83E+01	1.05E+00
83.3	11.76	1.05E+00	2.85E+01	1.05E+00
83.4	11.74	1.06E+00	2.86E+01	1.06E+00
83.5	11.72	1.06E+00	2.87E+01	1.06E+00
83.6	11.71	1.07E+00	2.89E+01	1.07E+00
83.7	11.69	1.07E+00	2.90E+01	1.07E+00
83.8	11.67	1.08E+00	2.91E+01	1.08E+00
83.9	11.66	1.08E+00	2.93E+01	1.08E+00
84.0	11.64	1.09E+00	2.94E+01	1.09E+00
84.1	11.63	1.09E+00	2.95E+01	1.09E+00
84.2	11.61	1.10E+00	2.97E+01	1.10E+00
84.3	11.60	1.10E+00	2.98E+01	1.10E+00
84.4	11.58	1.11E+00	2.99E+01	1.11E+00
84.5	11.57	1.11E+00	3.01E+01	1.11E+00
84.6	11.55	1.12E+00	3.02E+01	1.12E+00
84.7	11.54	1.12E+00	3.03E+01	1.12E+00
84.8	11.52	1.13E+00	3.05E+01	1.13E+00
84.9	11.51	1.13E+00	3.06E+01	1.13E+00
85.0	11.50	1.14E+00	3.07E+01	1.14E+00
85.1	11.48	1.14E+00	3.09E+01	1.14E+00
85.2	11.47	1.15E+00	3.10E+01	1.15E+00
85.3	11.46	1.15E+00	3.11E+01	1.15E+00
85.4	11.44	1.16E+00	3.13E+01	1.16E+00
85.5	11.43	1.16E+00	3.14E+01	1.16E+00
85.6	11.42	1.17E+00	3.15E+01	1.17E+00
85.7	11.40	1.17E+00	3.17E+01	1.17E+00
85.8	11.39	1.18E+00	3.18E+01	1.18E+00
85.9	11.38	1.18E+00	3.19E+01	1.18E+00
86.0	11.36	1.19E+00	3.21E+01	1.19E+00
86.1	11.35	1.19E+00	3.22E+01	1.19E+00
86.2	11.34	1.20E+00	3.23E+01	1.20E+00
86.3	11.33	1.20E+00	3.25E+01	1.20E+00
86.4	11.31	1.21E+00	3.26E+01	1.21E+00
86.5	11.30	1.21E+00	3.27E+01	1.21E+00
86.6	11.29	1.22E+00	3.29E+01	1.22E+00
86.7	11.28	1.22E+00	3.30E+01	1.22E+00
86.8	11.27	1.23E+00	3.31E+01	1.23E+00
86.9	11.26	1.23E+00	3.33E+01	1.23E+00
87.0	11.24	1.24E+00	3.34E+01	1.24E+00
87.1	11.23	1.24E+00	3.35E+01	1.24E+00
