27Al(p,x)22Na				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

55.9	29.93	3.38E-01	9.15E+00	3.38E-01
56.0	29.83	3.40E-01	9.19E+00	3.40E-01
56.1	29.73	3.41E-01	9.23E+00	3.41E-01
56.2	29.63	3.43E-01	9.27E+00	3.43E-01
56.3	29.53	3.44E-01	9.31E+00	3.44E-01
56.4	29.43	3.46E-01	9.35E+00	3.46E-01
56.5	29.33	3.47E-01	9.39E+00	3.47E-01
56.6	29.24	3.49E-01	9.43E+00	3.49E-01
56.7	29.14	3.50E-01	9.47E+00	3.50E-01
56.8	29.04	3.52E-01	9.51E+00	3.52E-01
56.9	28.95	3.53E-01	9.55E+00	3.53E-01
57.0	28.86	3.55E-01	9.58E+00	3.55E-01
57.1	28.76	3.56E-01	9.62E+00	3.56E-01
57.2	28.67	3.58E-01	9.66E+00	3.58E-01
57.3	28.58	3.59E-01	9.70E+00	3.59E-01
57.4	28.49	3.60E-01	9.74E+00	3.60E-01
57.5	28.40	3.62E-01	9.78E+00	3.62E-01
57.6	28.31	3.63E-01	9.82E+00	3.63E-01
57.7	28.22	3.65E-01	9.86E+00	3.65E-01
57.8	28.14	3.66E-01	9.90E+00	3.66E-01
57.9	28.05	3.68E-01	9.94E+00	3.68E-01
58.0	27.96	3.69E-01	9.97E+00	3.69E-01
58.1	27.88	3.70E-01	1.00E+01	3.70E-01
58.2	27.79	3.72E-01	1.01E+01	3.72E-01
58.3	27.71	3.73E-01	1.01E+01	3.73E-01
58.4	27.63	3.75E-01	1.01E+01	3.75E-01
58.5	27.54	3.76E-01	1.02E+01	3.76E-01
58.6	27.46	3.78E-01	1.02E+01	3.78E-01
58.7	27.38	3.79E-01	1.02E+01	3.79E-01
58.8	27.30	3.80E-01	1.03E+01	3.80E-01
58.9	27.22	3.82E-01	1.03E+01	3.82E-01
59.0	27.14	3.83E-01	1.04E+01	3.83E-01
59.1	27.06	3.85E-01	1.04E+01	3.85E-01
59.2	26.99	3.86E-01	1.04E+01	3.86E-01
59.3	26.91	3.87E-01	1.05E+01	3.87E-01
59.4	26.83	3.89E-01	1.05E+01	3.89E-01
59.5	26.76	3.90E-01	1.05E+01	3.90E-01
59.6	26.68	3.92E-01	1.06E+01	3.92E-01
59.7	26.61	3.93E-01	1.06E+01	3.93E-01
59.8	26.54	3.94E-01	1.07E+01	3.94E-01
59.9	26.46	3.96E-01	1.07E+01	3.96E-01
60.0	26.39	3.97E-01	1.07E+01	3.97E-01
60.1	26.32	3.99E-01	1.08E+01	3.99E-01
60.2	26.25	4.00E-01	1.08E+01	4.00E-01
60.3	26.18	4.01E-01	1.08E+01	4.01E-01
60.4	26.11	4.03E-01	1.09E+01	4.03E-01
60.5	26.04	4.04E-01	1.09E+01	4.04E-01
60.6	25.97	4.05E-01	1.10E+01	4.05E-01
60.7	25.91	4.07E-01	1.10E+01	4.07E-01
60.8	25.84	4.08E-01	1.10E+01	4.08E-01
60.9	25.77	4.10E-01	1.11E+01	4.10E-01
61.0	25.71	4.11E-01	1.11E+01	4.11E-01
61.1	25.64	4.12E-01	1.11E+01	4.12E-01
61.2	25.58	4.14E-01	1.12E+01	4.14E-01
61.3	25.51	4.15E-01	1.12E+01	4.15E-01
