#ZVView-data-copy:   3-Mar-2018 00:28:04
#=======================================
#
#name:   13-AL-27(P,X)11-NA-24,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  191
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          55.2            0       0.0074     0.000666  # 1988,M.C.Lagunas-Solar   ## A0445003
          57.2            0       0.0078     0.000702  # 1988,M.C.Lagunas-Solar   ## A0445003
          59.2            0       0.0082     0.000738  # 1988,M.C.Lagunas-Solar   ## A0445003
          61.1            0       0.0085     0.000765  # 1988,M.C.Lagunas-Solar   ## A0445003
            63            0       0.0083     0.000747  # 1988,M.C.Lagunas-Solar   ## A0445003
          64.8            0       0.0089     0.000801  # 1988,M.C.Lagunas-Solar   ## A0445003
          66.6            0       0.0093     0.000837  # 1988,M.C.Lagunas-Solar   ## A0445003
//
#-------------------------------------------------------------------------------
#
#name:   13-AL-27(P,X)11-NA-24,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  197
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          30.9          0.5      0.00045         9e-5  # 2011,M.U.Khandaker+      ## D7003002
          31.6          0.5      0.00046         8e-5  # 2011,M.U.Khandaker+      ## D7003002
          33.4          0.4      0.00054         9e-5  # 2011,M.U.Khandaker+      ## D7003002
         34.04         0.15    0.0005037     0.000389  # 1973,K.Miyano            ## E0057003
          34.1          0.4      0.00065      0.00011  # 2011,M.U.Khandaker+      ## D7003002
          34.5          0.4      0.00077      0.00013  # 2011,M.U.Khandaker+      ## D7003002
         34.93            0      0.00043         3e-5  # 1979,P.Pulfer            ## D0053006
          35.5          1.3     0.000564       5.5e-5  # 2009,Yu.E.Titarenko+     ## O1728002
          36.3          1.2     0.000703         6e-5  # 2009,Yu.E.Titarenko+     ## O1728002
          36.5          0.3      0.00127      0.00015  # 2011,M.U.Khandaker+      ## D7003002
          36.9          1.1     0.000804       6.4e-5  # 2009,Yu.E.Titarenko+     ## O1728002
          36.9          1.1     0.000796       6.4e-5  # 2009,Yu.E.Titarenko+     ## O1728002
            37          1.1     0.000824       6.5e-5  # 2009,Yu.E.Titarenko+     ## O1728002
         37.41         0.15    0.0008449    0.0004671  # 1973,K.Miyano            ## E0057003
          38.3          0.3      0.00181      0.00014  # 2011,M.U.Khandaker+      ## D7003002
         40.41         0.15     0.001417    0.0005611  # 1973,K.Miyano            ## E0057003
        40.462            0   0.00032159     1.608e-5  # 1962,C.Brun+             ## D0128003
          40.8          0.8      0.00151         9e-5  # 2011,Yu.E.Titarenko+     ## A0902004
          40.8          0.8       0.0017       0.0001  # 2011,Yu.E.Titarenko+     ## A0902004
          40.8          0.8       0.0012         9e-5  # 2011,Yu.E.Titarenko+     ## A0902004
          44.6          0.3      0.00252      0.00015  # 2011,Yu.E.Titarenko+     ## A0902004
          44.6          0.3       0.0031      0.00019  # 2011,Yu.E.Titarenko+     ## A0902004
          44.6          0.3      0.00193      0.00011  # 2011,Yu.E.Titarenko+     ## A0902004
         44.85            0        0.003       0.0002  # 1979,P.Pulfer            ## D0053006
         46.67         0.15     0.003513    0.0006471  # 1973,K.Miyano            ## E0057003
         49.39            0      0.00571      0.00078  # 1979,P.Pulfer            ## D0053006
        50.451            0     0.002101   0.00010505  # 1962,C.Brun+             ## D0128003
         51.23         0.15     0.005251    0.0006219  # 1973,K.Miyano            ## E0057003
          51.8         0.15     0.005306    0.0005969  # 1973,K.Miyano            ## E0057003
         54.61            0      0.00785      0.00062  # 1979,P.Pulfer            ## D0053006
          59.2            0      0.00888      0.00069  # 1979,P.Pulfer            ## D0053006
            60            0        0.007        0.001  # 1962,H.Gauvin+           ## C0394006
        60.472            0     0.007747   0.00047649  # 1962,C.Brun+             ## D0128003
        65.288            0    0.0087211    0.0005087  # 1962,C.Brun+             ## D0128003
            66          0.6       0.0117      0.00053  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6       0.0117      0.00053  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01192      0.00053  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01192      0.00053  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01151      0.00061  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01151      0.00061  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01268       0.0006  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01152      0.00055  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01272      0.00062  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01191      0.00057  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01205      0.00064  # 2011,Yu.E.Titarenko+     ## A0902004
            66          0.6      0.01128      0.00068  # 2011,Yu.E.Titarenko+     ## A0902004
            67            0       0.0113       0.0008  # 2003,Yu.E.Titarenko+     ## O0985002
          67.1          0.9      0.01169      0.00084  # 2009,Yu.E.Titarenko+     ## O1728002
          67.8          0.8      0.01109       0.0008  # 2009,Yu.E.Titarenko+     ## O1728002
          67.9          0.8       0.0117      0.00085  # 2009,Yu.E.Titarenko+     ## O1728002
          68.1          0.8      0.01174      0.00085  # 2009,Yu.E.Titarenko+     ## O1728002
          68.2          0.8      0.01174      0.00085  # 2009,Yu.E.Titarenko+     ## O1728002
            70            0        0.009            0  # 1962,H.Gauvin+           ## C0394006
         70.87            0       0.0104       0.0004  # 1979,P.Pulfer            ## D0053006
         74.97            0     0.008932   0.00052966  # 1962,C.Brun+             ## D0128003
            80            0         0.01       0.0005  # 1962,H.Gauvin+           ## C0394006
        80.038            0    0.0097265   0.00055084  # 1962,C.Brun+             ## D0128003
            85            0       0.0102            0  # 1962,H.Gauvin+           ## C0394006
            90            0       0.0105            0  # 1962,H.Gauvin+           ## C0394006
            97            0        0.011       0.0008  # 2003,Yu.E.Titarenko+     ## O0985002
          97.2          0.4      0.01139      0.00051  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01139      0.00051  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4       0.0119      0.00059  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4       0.0119      0.00059  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01146      0.00052  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01146      0.00052  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01201      0.00056  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01141      0.00061  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01261      0.00066  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01189      0.00056  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01252       0.0006  # 2011,Yu.E.Titarenko+     ## A0902004
          97.2          0.4      0.01123      0.00059  # 2011,Yu.E.Titarenko+     ## A0902004
          98.7          0.8      0.01173       0.0008  # 2009,Yu.E.Titarenko+     ## O1728002
        99.661            0     0.010933   0.00057179  # 1962,C.Brun+             ## D0128003
           100            0       0.0105            0  # 1962,H.Gauvin+           ## C0394006
           110            0       0.0103            0  # 1962,H.Gauvin+           ## C0394006
        119.67            0    0.0098411   0.00056142  # 1962,C.Brun+             ## D0128003
           120            0       0.0101            0  # 1962,H.Gauvin+           ## C0394006
           127            0       0.0101       0.0008  # 2003,Yu.E.Titarenko+     ## O0985002
           130            0       0.0098            0  # 1962,H.Gauvin+           ## C0394006
           147            0       0.0098       0.0008  # 2003,Yu.E.Titarenko+     ## O0985002
         147.6          0.4      0.01059      0.00047  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01059      0.00047  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01081      0.00048  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01081      0.00048  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01113       0.0005  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01113       0.0005  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01126      0.00053  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01037      0.00048  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4       0.0124      0.00059  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01073      0.00054  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4        0.012      0.00058  # 2011,Yu.E.Titarenko+     ## A0902004
         147.6          0.4      0.01135      0.00187  # 2011,Yu.E.Titarenko+     ## A0902004
           149            1      0.01102      0.00079  # 2009,Yu.E.Titarenko+     ## O1728002
         149.6            0    0.0098295   0.00058238  # 1962,C.Brun+             ## D0128003
           150            0       0.0096       0.0005  # 1962,H.Gauvin+           ## C0394006
           150            0       0.0096       0.0004  # 1962,C.Brun+             ## D0128003
        154.72            0    0.0098402    0.0005612  # 1962,C.Brun+             ## D0128003
           197            0       0.0098       0.0007  # 2003,Yu.E.Titarenko+     ## O0985002
           249            1      0.01053       0.0005  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01053       0.0005  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01222      0.00088  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01222      0.00088  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01066      0.00048  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01066      0.00048  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1       0.0112      0.00062  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01062      0.00052  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01312      0.00098  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01227      0.00091  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1       0.0113      0.00053  # 2011,Yu.E.Titarenko+     ## A0902004
           249            1      0.01068       0.0005  # 2011,Yu.E.Titarenko+     ## A0902004
